001:01:000,1,,Meta Event,Channel Prefix,16,FF 20 0F,01:00:00:00,0
001:01:000,1,,Meta Event,Track Name,C446_M468__120_S12_,FF 03 43 34 34 36 5F 4D 34 36 38 5F 1A 1A 1A 1A 1A 1A 1A 1A 1A 1A 1A 1A 5F 31 32 30 5F 53 31 32 5F,01:00:00:00,0
001:01:000,1,,Meta Event,Instrument Name,Steinway Piano 2,FF 04 53 74 65 69 6E 77 61 79 20 50 69 61 6E 6F 20 32,01:00:00:00,0
001:01:000,1,,Meta Event,Time Signature,"4/4, Click: 24, MIDI Clock: 8",FF 58 04 02 18 08,01:00:00:00,0
001:01:000,1,,Meta Event,Key Signature,C,FF 59 00 00,01:00:00:00,0
001:01:000,1,,Meta Event,SMPTE Offset,"01 : 00 : 00 : 00 : 00, 25 fps",FF 54 21 00 00 00 00,01:00:00:00,0
001:01:000,1,,Meta Event,Set Tempo,120,FF 51 07 A1 20,01:00:00:00,0
001:04:360,1,1,Note,C7,068 064 324,90 60 44,01:00:01:21,1800
002:01:420,1,,Meta Event,Lyric,어,FF 05 EC 96 B4,01:00:02:10,2340
002:01:442,1,1,Note,F4,068 000 141,90 41 44,01:00:02:11,2362
002:02:107,1,1,Note,F4,066 000 323,90 41 42,01:00:02:15,2507
002:02:120,1,,Meta Event,Lyric,쩐,FF 05 EC A9 90,01:00:02:15,2520
002:02:420,1,,Meta Event,Lyric,지,FF 05 EC A7 80,01:00:02:23,2820
002:02:434,1,1,Note,E4,077 000 153,90 40 4D,01:00:02:23,2834
002:03:111,1,1,Note,E4,070 000 194,90 40 46,01:00:03:02,2991
002:03:120,1,,Meta Event,Lyric,이,FF 05 EC 9D B4,01:00:03:03,3000
002:03:309,1,1,Note,C7,027 000 348,90 60 1B,01:00:03:08,3189
002:04:180,1,,Meta Event,Lyric,자,FF 05 EC 9E 90,01:00:03:17,3540
002:04:181,1,1,Note,D4,073 000 235,90 3E 49,01:00:03:17,3541
002:04:420,1,,Meta Event,Lyric,꾸,FF 05 EA BE B8,01:00:03:23,3780
002:04:420,1,1,Note,E4,064 000 180,90 40 40,01:00:03:23,3780
003:01:120,1,,Meta Event,Lyric,눈,FF 05 EB 88 88,01:00:04:03,3960
003:01:124,1,1,Note,E4,078 000 209,90 40 4E,01:00:04:03,3964
003:01:337,1,1,Note,E4,066 000 211,90 40 42,01:00:04:08,4177
003:01:360,1,,Meta Event,Lyric,이,FF 05 EC 9D B4,01:00:04:09,4200
003:02:060,1,,Meta Event,Lyric,마,FF 05 EB A7 88,01:00:04:14,4380
003:02:072,1,1,Note,D4,077 000 78,90 3E 4D,01:00:04:14,4392
003:02:154,1,1,Note,E4,066 000 120,90 40 42,01:00:04:16,4474
003:02:180,1,,Meta Event,Lyric,주^,FF 05 EC A3 BC 5E,01:00:04:17,4500
003:02:278,1,1,Note,F4,070 000 92,90 41 46,01:00:04:19,4598
003:02:300,1,,Meta Event,Lyric,우,FF 05 EC 9A B0,01:00:04:20,4620
003:02:360,1,,Meta Event,Lyric,쳐,FF 05 EC B3 90,01:00:04:21,4680
003:02:374,1,1,Note,D4,076 000 212,90 3E 4C,01:00:04:22,4694
003:03:110,1,1,Note,D4,059 000 401,90 3E 3B,01:00:05:02,4910
003:03:120,1,,Meta Event,Lyric,어,FF 05 EC 96 B4,01:00:05:03,4920
003:04:035,1,1,Note,C7,024 000 839,90 60 18,01:00:05:13,5315
004:01:398,1,1,Note,E4,081 000 183,90 40 51,01:00:06:10,6158
004:01:420,1,,Meta Event,Lyric,너^,FF 05 EB 84 88 5E,01:00:06:10,6180
